PaperID,Abstract,Category
2,"The emergence of online education platforms, driven by interactive mobile technology, has significantly reshaped traditional educational paradigms and underscored the critical need for advanced analysis and improvement of student interactions. Effective analysis of student interaction is crucial for enhancing teaching quality and optimizing the learning experience in these digitally enriched environments. Traditional analysis frameworks often face challenges such as inaccuracies in anomaly detection and inefficiencies in data handling, particularly when handling extensive datasets typical of online platforms. This study introduces a novel approach to enhancing student interaction analysis systems by leveraging the synergy between machine learning and advanced interactive mobile technologies. Initially, the study proposes an advanced anomaly detection method tailored for identifying irregu-lar student interactions. This method utilizes a blend of machine learning algorithms and the real-time data processing capabilities of mobile technology. Furthermore, to address the complexities of data transmission in mobile-based online education ecosystems, a state-of-the-art congestion control algorithm has been developed. This algorithm optimizes data flow, significantly enhancing transmission stability and efficiency. The integration of interactive mobile technology with machine learning offers a robust and dynamic framework for analyzing student interactions, thereby facilitating a more engaging and effective online educational experience. This research contributes to the advancement of online education quality and efficiency by emphasizing the role of interactive mobile technology in shaping future learning environments. Â© 2024 by the authors of this article.",Education
4,"With the incursion of data science into the academic field and the massification of social networks, it is possible to extract information on student satisfaction that contributes to feedback on teacher teaching strategies and methods. This article aims to determine student satisfaction with teaching performance, through sentiment analysis. Methodologically, the research is of a non-experimental longitudinal design, with a quantitative approach. Data collection was carried out through the social network Twitter, and data analysis was carried out through the sentiment analysis technique. As a result, it was identified that in the first week of class, the highest level of satisfaction was obtained, reaching 96.3% of the total number of students. Meanwhile, in the evaluation weeks, the highest level of dissatisfaction was reaching 29.17%. It is concluded that when going from totally virtual learning to hybrid learning, students express a certain level of dissatisfaction typical of a process of progressive adaptation. Therefore, teachers should take advantage of these findings to redesign assessment rubrics in the context of hybrid teaching. Aspects such as collecting opinions through social networks and extracting a degree of satisfaction through them apply in a crossed way to other professional fields. Â© 2024, Institute of Advanced Engineering and Science. All rights reserved.",Education
6,"Student evaluations are an important aspect of business pedagogy. Social media-based evaluations, such as RateMyProfessors.com, empower students to evaluate faculty anonymously. A perusal of the literature indicates little to no prior research conducted on faculty perceptions of student usage of online evaluations. We posit that business students embody unique characteristics that influence their usage. We examine whether business students use RateMyProfessors.com in an ethical manner (i.e., honestly and without grade-related bias) and moderately (i.e., not only to rant or rave), whether gender differences exist in evaluations, and how confident students are in their evaluative abilities. We also posit that business faculty will understand how their students use online faculty evaluations. We summarize and discuss the empirical analysis of the hypotheses. Â© 2022, North American Business Press. All rights reserved.",Education
7,"The onset of the COVID-19 pandemic prompted a rapid shift to Emergency Remote Teaching (ERT). Social networks had a key role in supporting the educational community in facing challenges and opportunities. A quantitative study was conducted to assess the Greek teachersâ€™ perceptions of social network support. Findings indicated that teachers turned to universities, educational institutions, the Ministry of Education, school support groups, and virtual communities for support. Additionally, the study revealed the barriers faced by teachers, including infrastructure limitations, technical difficulties, skill deficiencies, problems with studentsâ€™ engagement, and school policies. Teachersâ€™ evaluation of support regarding ERT provided fruitful insight. The results illustrate teachersâ€™ perspectives on ERT, contributing to the ongoing discourse on educational resilience to unpredictable disruptions. In conclusion, the role of social networks was considered as critical for the teachers to overcome barriers during ERT with the formation of social communities for support and the sharing of common experiences. Expertise in internet use and social networking played a significant role in readiness for the abrupt shift to distance education. The present study uniquely contributes to the educational field by emphasizing the role of teachersâ€™ support as an innovative approach to holistically enhance teachersâ€™ performance in ERT. Â© 2024 by the authors.",Education
9,"Purpose: This study explored the effectiveness of a Problem-based Learning (PBL) teaching model on the WeChat public platform for radiation oncology residency training programs. Materials and methods: The WeChat PBL program was initiated in 2019. The study recruited student participants, on a voluntary basis, who were in their first and second years of standardized training in radiation oncology. We selected classic and trending issues in radiation oncology as the two main teaching topics. Students in the PBL group searched for relevant literature, summarizing PowerPoint presentations or academic speeches on specific issues published on the professional WeChat public platform after an in-depth review by teachers. The final national standardized training examination scores for resident physicians were used to evaluate teaching effectiveness. The graduation scores of the PBL and non-PBL groups were compared, and a stratified analysis was conducted based on the year of participation to assess the teaching effectiveness of this model. Moreover, questionnaires were administered to evaluate studentsâ€™ experiences. Results: Among the 36 students who joined the study in 2019, 16 (44.0%) voluntarily joined the PBL teaching group. Nine students started teaching PBL in their first year of residency, accounting for 47.4% of that year, and seven started in their second year, accounting for 41.2%. The average graduation scores of the PBL group were superior to those of the non-PBL-focused group for the same grade. The rate of high scores among students in the PBL group (56.3%) was higher than that of students in the non-PBL group (25%). Specifically, first-year residents who joined the PBL group had an average score of 92.3 Â± 2.2, significantly higher than their non-PBL counterparts, who scored an average of 88.6 Â± 4.6, showing a statistically significant advantage (p = 0.042). All students were satisfied with the PBL WeChat teaching and would recommend the PBL WeChat course to others. Conclusion: The PBL residency teaching model on the WeChat platform improved residency scores and garnered student satisfaction. Â© The Author(s) 2024.",Education
10,"In the education domain, the significance of student feedback and other stakeholders for raising educational standards has received more attention in recent years. As a result, numerous instruments and strategies for obtaining student input and assessing faculty performance, as well as other facets of education, have been developed. There are two main methods to collect feedback from students, as follows: the direct and indirect methods. In the direct method, feedback is collected by distributing a questionnaire and taking their responses. The limitation of this method is that the true experience of students is not revealed, and there is room for bias in the collection and assessment of such a questionnaire. To overcome this limitation, the indirect method can be followed where social media posts can be used to collect feedback from students as they are active on social media and use it to express their opinions as posts. To address the problem of the manual annotation of large volumes of data, this paper proposes a machine learning method that uses the sentiment 140 dataset as the training set to automate the process of annotations of tweets. The same method can be used to label any qualitative data. In total, 5000 tweets were scraped and considered for this study. Various pre-processing methods, including byte-order-mark removal, hashtag removal, stop word removal, and tokenization, were applied to the data. The term frequency-inverse document frequency (TF-IDF) trigrams technique was then used to process the cleaned data. The TF-IDF technique using trigrams captures negation for sentiment analysis. The vectorized data are then processed using various machine learning algorithms to classify the polarity of tweets. Performance parameters such as the F1-score, recall, accuracy, and precision are compared. With a 94.16% F1-score, 94% precision, 94% recall, and 95.16% accuracy, the Ridge Classifier performed better than the others. Â© 2023 by the authors. Licensee MDPI, Basel, Switzerland.",Education
13,"Nowadays, the development of online college education is in full swing, and various online college education platforms have also sprung up. The development of technology has made these online platforms more and more powerful, escorting the continuous development of online education. Colleges and universities, as the main front for the cultivation of high-quality talents in my country, have already introduced large-scale online courses into education and teaching, enriching the teaching content, and expanding the teaching form. In the face of new technical means and abundant online education resources, the teaching quality of online classrooms in colleges and universities is so low, which deserves our further reflection. For a long time, the effect of online classroom teaching in colleges and universities has been closely concerned by the academic community, but most of them start from external factors, ignoring the internal relationship of online classrooms. Clarifying the complex relationships in the online classroom field of colleges and universities and clarifying the rules of habitus and capital operation in the online classroom field of colleges and universities are the intrinsic motivation and important source to stimulate the vitality of the online classroom field of colleges and universities and improve the quality of teaching. By grasping the essence of classroom teaching and analyzing the inherent characteristics of the online classroom field, this research intends to clarify the proper state of the online classroom field, and to explore the reasons why the current online classroom field function has not been fully realized, so as to find the depth of college education.  Â© 2022 Qianqian Zhao and Yan Li.",Education
20,"With the development of digital media technology, its application in teaching and learning is becoming more widespread. Digital media technology helps present information in transmitting knowledge or skills, reduces cognitive load, and promotes understanding of knowledge. Evaluation of the effectiveness of digital media teaching has also become important. A scientific and reasonable evaluation of digital media teaching effectiveness can help teachers select digital media technology and grasp the amount, degree, and timing of digital media use to change teaching effectiveness. This paper proposed using a combination of big data and artificial intelligence methods to evaluate the effectiveness of digital media teaching methods using the RBF neural network model. The digital media teaching effectiveness evaluation was used as the input variable of RBF, the degree of digital media effectiveness was the output variable and the neural network was trained through the collected sample data. The research results showed that the RBF neural network model proposed in this paper has a strong generalization and extension ability in evaluating digital media teaching effectiveness, providing a new way to evaluate digital media teaching effectiveness.  Â© 2022 RuiYao Zhang.",Education
22,"This study is based on the university studentsâ€™ opinions on the social network Twitter, to learn the teaching performance in the context of virtual learning using sentiment analysis technique. However, to establishing the classification algorithm, an imbalance was evidenced in the amounts of opinions that qualify the teaching performance with the satisfied and dissatisfied class. Therefore, the objective of this investigation is to determine the improvement in the performance of the student satisfaction classification algorithm, based on the class balancing method from the application of the minority synthetic oversampling technique (SMOTE). From the methodological point of view, the research is a non-experimental design, applied type, and quantitative approach. The data was collected through the social network Twitter for fifteen weeks to a population defined by mechanical and electrical engineering students. After the application of the SMOTE data balancing technique, it was identified that the algorithm which presents the best performance is Logistic Regression. It was possible to identify that the impact of improvement of the algorithm turned out to be an average of 2.17% in the accuracy, 84.78% in precision, 42% in the Recall (Sensitivity) and 58.33% in the F1-score. Therefore, it is demonstrated that the algorithm classifies with high probability the opinions of the students. Â© 2023 by the authors.",Education
26,"Background: The emergence of digital technology in the field of psychological and educational measurement and assessment broadens the traditional concept of pencil and paper tests. New assessment models built on the proliferation of smartphones, social networks and software developments are opening up new horizons in the field. Method: This study is divided into four sections, each discussing the benefits and limitations of a specific type of technology-based assessment: ambulatory assessment, social networks, gamification and forced-choice testing. Results: The latest developments are clearly relevant in the field of psychological and educational measurement and assessment. Among other benefits, they bring greater ecological validity to the assessment process and eliminate the bias associated with retrospective assessment. Conclusions: Some of these new approaches point to a multidisciplinary scenario with a tradition which has yet to be created. Psychometrics must secure a place in this new world by contributing sound expertise in the measurement of psychological variables. The challenges and debates facing the field of psychology as it incorporates these new approaches are also discussed. Â© 2023, Colegio Oficial de Psicologos Asturias. All rights reserved.",Education
28,"As the impact of social media grows, understanding the mechanisms through which social media affects employee behaviour increases. Employing social capital theory, we investigate the mechanisms through which social media usage affects organisational citizenship behaviour (OCB) of faculty in Kenyan private universities. OCB is an important aspect of universitiesâ€™ performance, given the high level of autonomy in universities. We develop a theoretical model that posits direct links to OCB of three social media usages (social, cognitive, and hedonic) which affect OCB. We also posit indirect links (using autonomy as a mediator) that affect facultyâ€™s intrinsic motivation for OCB. Using descriptive cross-sectional survey, a mediated model was tested on 388 faculty. Results revealed: 1) social media usage significantly impacts OCB, with social and cognitive having a positive relationship, and hedonic having a negative relationship with OCB; 2) social media usage tends to increase autonomy. Findings of this study contribute towards job performance improvement. Â© 2023 Informa UK Limited, trading as Taylor & Francis Group.",Social Media
31,"In Australia, the Teaching Performance Assessment (TPA) is a relatively new, mandatory hurdle which must be completed just prior to the graduation stage of initial teacher education (ITE) programmes. This high-stakes task is one of a growing number of requirements to come out of the standards and accountability regime as outlined in the Australian Institute for Teaching and School Leadership (AITSL) document for accreditation for ITE programmes. We delve into the public commentary about the broader commission of preservice and graduate teacher quality in general and the TPA in particular. We draw on Bernsteinâ€™s pedagogic identities and deductively apply this theory to explore this phenomenon. We use a data set of publicly available legacy media and social media tweets made over a ten-month period from August 2019 to May 2020 to reveal the focus, inherent bias and pedagogic identities promoted by these public discourses. The paper concludes with discussion about the implications of these drivers on the public perception of quality in ITE and on the status of teaching more broadly. Â© Crown 2023.",Education
32,"With the deepening application of artificial intelligence in the field of education, teaching quality evaluation has become the key to improving educational effectiveness. In order to quantify the effectiveness of knowledge transmission and mastery in digital media teaching, this paper proposes an improved Bayesian knowledge tracking model (BF-BKT), which has been specifically optimized for teaching quality evaluation. The motivation stems from the shortcomings of existing technology in evaluating teaching quality, especially the lack of effective integration of student learning behavior and forgetting patterns. This article describes the development process of the BF-BKT model, which innovatively combines learning behavior data and forgetting patterns by introducing behavioral forgetting features to more accurately predict studentsâ€™ learning status and teaching effectiveness. The BF-BKT model not only considers whether students have mastered a certain knowledge point, but also further analyzes their forgetting situation at different time points, providing a more comprehensive perspective for evaluating teaching quality. To validate the performance of the BF-BKT model, we compared it with the traditional BKT model and two diverse BKT variants. We conducted systematic experiments and analysis by selecting public datasets as simulation scenarios. The experimental results show that the BF-BKT model performs well in predicting studentsâ€™ knowledge mastery and evaluating teaching quality, and its performance is superior to other comparative methods, proving the effectiveness and superiority of the model. Â© 2013 IEEE.",Education
36,"In the realm of education, understanding the impact of different teaching styles on student engagement and satisfaction is essential. Recent advancements in sentiment analysis provide new avenues for evaluating student feedback, particularly through informal channels such as social media. While formal student evaluations offer structured feedback on teaching styles, they may not fully capture the nuanced opinions and sentiments expressed by students in informal settings, such as social media. This research aims to address the gap by integrating sentiment analysis of social media data to evaluate teaching effectiveness across various styles and comparing it with formal evaluation results. This study employs sentiment analysis using the VADER (Valence Aware Dictionary and sEntiment Reasoner) tool to analyze student posts on social media platforms. The analysis includes the extraction of sentiment distributions, identification of common keywords, and tracking of sentiment trends over time. Additionally, formal student evaluations (Likert scale) are collected to offer a direct comparison. The teaching styles analyzed include lecture-based teaching, project-based learning, flipped classrooms, online learning, hybrid learning, and traditional exam-based learning. The findings demonstrate that student sentiment varies significantly across teaching styles. Flipped classrooms and project-based learning received the highest positive sentiment scores, while traditional exam-based teaching showed the most negative sentiment. Social media feedback tended to align with formal evaluations for certain teaching styles, such as the flipped classroom and hybrid learning but showed divergence in others, like online learning, which received higher sentiment in social media feedback. Trends over time reveal evolving sentiments, with fluctuating satisfaction as the academic semester progressed. The integration of social media sentiment analysis provides a more dynamic and real-time understanding of student experiences, offering deeper insights into teaching style effectiveness. Â© 2025, American Scientific Publishing Group (ASPG). All rights reserved.",Education
38,"The COVID-19 pandemic has forced us to engage in the ubiquitous use of virtual interpreting teaching and learning. The sudden shift of teaching mode has resulted in unplanned challenges. The main concerns among teachers and students include teaching quality and learning effectiveness. To examine the effectiveness of interpreting teaching and learning online, we conducted a survey about students' perceptions of satisfaction concerning online interpreting teaching and learning via an online platform. This survey is composed of questions to measure student satisfaction from six aspects, namely, instructor, technology, setup, interaction, outcomes, and overall. Results showed that the shift to abrupt online interpreting teaching and learning did not have any significant impact on teaching quality and learning effectiveness. Findings also highlighted the need for further investigation of self-regulation and self-directiveness in online interpreting teaching and learning. Essential pedagogical tasks can be conducted online (e.g., triangulation exercises, relays, handover, and channel switching). Implications are provided based on the findings. Â© 2022 Editorial Board TESL - EJ. All rights reserved.",Education
42,"Almost all educational institutions have shifted their academic activities to digital platforms due to the recent COVID-19 epidemic. Because of this, it is very important to assess how well teachers are performing with this new way of online teaching. Educational Data Mining (EDM) is a new field that emerged from using data mining techniques to analyze educational data and making decision based on findings. EDM can be utilized to gain better understanding about students and their learning processes, assist teachers do their academic tasks, and make judgments about how to manage educational system. The primary objective of this study is to uncover the key factors that influence the quality of teaching in a virtual classroom environment. Data is gathered from the studentsâ€™ evaluation of teaching from computer science students of three online semesters at X University. In total, 27622 students participated in these survey. Weka, sentimental analysis, and word cloud generator are applied in the process of carrying out the research. The decision tree classifies the factors affecting the performance of the teachers, and we find that student-faculty relation is the most prominent factor for improving the teaching quality. The sentimental analysis reveals that around 78% of opinions are positive and â€œgoodâ€ is the most frequently used word in the opinions. If the education system is moved online in the future, this research will help figure out what needs to be changed to improve teachersâ€™ overall performance and the quality of their teaching. Â© 2022, Modern Education and Computer Science Press. All rights reserved.",Education
47,"Objective: As an experimental biological science, physiology has been taught as an integralÂ component of medical curricula for a long time in China. The teaching effectiveness of physiology courses will directly affect students' learning of other medical disciplines. The purpose of this study is to investigate the current situation and changes in physiology teaching over 30 years in Chinese medical schools. Methods: National survey was conducted online on the platform SoJump via WeChat and the web. The head of the physiology department in medical school was asked to indicate the information of physiology education from three periods: 1991â€“2000, 2001â€“2010, and 2011â€“2020. The responses of 80 leaders of the Department of Physiology from mainland Chinese medical schools were included in the study for analysis. Results: The survey showed that the class hours, both of theory and practice, had been decreased. During the past 20 years, the total number of physiology teachers, the number of physiology teachers who had been educated in medical schools, and the number of technicians had been reduced, whereas teachers with doctorâ€™s degrees had been increased. In addition to traditional didactic teaching, new teaching approaches, including problem-based learning/case-based learning/team-based learning, integrated curriculum and formative evaluation systems, had been employed, mostly for more than 5 years, in some medical schools. Conclusion: The present study has provided historical data regarding the current status of physiology education in China and that in the past thirty years by showing that physiology education in China has developed quickly,even it faces many challenges. Â© The Author(s) 2024.",Education
